"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0019080"	"GO:0019080"	"viral gene expression"	"31/481"	"191/18670"	2.25554237684389e-16	9.64469920338448e-13	8.63754017574535e-13	"SUPT4H1/RPL13/RPL13A/CCL4/RPS11/RPL27/RPL35/RPS17/POLR2K/RPL36/RPLP1/RPL36A/USF2/IFITM3/RPS16/RPS28/RPS3A/RPL38/RPL5/RPL31/NUP37/POLR2H/POLR2I/EIF3D/RPS15/RPS3/RPS23/EIF3L/RPS5/RPL8/RPL35A"	31
"GO:0019083"	"GO:0019083"	"viral transcription"	"29/481"	"177/18670"	1.6503728771684e-15	3.52849721138604e-12	3.1600297511256e-12	"SUPT4H1/RPL13/RPL13A/CCL4/RPS11/RPL27/RPL35/RPS17/POLR2K/RPL36/RPLP1/RPL36A/USF2/IFITM3/RPS16/RPS28/RPS3A/RPL38/RPL5/RPL31/NUP37/POLR2H/POLR2I/RPS15/RPS3/RPS23/RPS5/RPL8/RPL35A"	29
"GO:0006613"	"GO:0006613"	"cotranslational protein targeting to membrane"	"23/481"	"109/18670"	5.00765708753121e-15	7.13758056876116e-12	6.39223034541704e-12	"RPL13/RPL13A/RPS11/RPL27/RPL35/RPS17/RPL36/RPLP1/RPL36A/SEC61B/RPS16/RPS28/RPS3A/SSR1/RPL38/RPL5/RPL31/RPS15/RPS3/RPS23/RPS5/RPL8/RPL35A"	23
"GO:0006614"	"GO:0006614"	"SRP-dependent cotranslational protein targeting to membrane"	"22/481"	"105/18670"	2.31116939026e-14	2.47064007818794e-11	2.21264058993839e-11	"RPL13/RPL13A/RPS11/RPL27/RPL35/RPS17/RPL36/RPLP1/RPL36A/SEC61B/RPS16/RPS28/RPS3A/RPL38/RPL5/RPL31/RPS15/RPS3/RPS23/RPS5/RPL8/RPL35A"	22
"GO:0045047"	"GO:0045047"	"protein targeting to ER"	"23/481"	"118/18670"	3.07487481933126e-14	2.62963294549209e-11	2.35503044057413e-11	"RPL13/RPL13A/RPS11/RPL27/RPL35/RPS17/RPL36/RPLP1/RPL36A/GET3/SEC61B/RPS16/RPS28/RPS3A/RPL38/RPL5/RPL31/RPS15/RPS3/RPS23/RPS5/RPL8/RPL35A"	23
"GO:0072599"	"GO:0072599"	"establishment of protein localization to endoplasmic reticulum"	"23/481"	"122/18670"	6.52223541969531e-14	4.64817977576953e-11	4.16278815032483e-11	"RPL13/RPL13A/RPS11/RPL27/RPL35/RPS17/RPL36/RPLP1/RPL36A/GET3/SEC61B/RPS16/RPS28/RPS3A/RPL38/RPL5/RPL31/RPS15/RPS3/RPS23/RPS5/RPL8/RPL35A"	23
"GO:0006612"	"GO:0006612"	"protein targeting to membrane"	"28/481"	"202/18670"	3.84544913730727e-13	2.34902007301798e-10	2.10372089646975e-10	"RPL13/RPL13A/RPS11/RPL27/RPL35/RPS17/RPL36/RPLP1/RPL36A/GET3/SEC61B/RPS16/ZDHHC7/RPS28/ZDHHC4/RPS3A/SSR1/RPL38/PRNP/RPL5/RPL31/RPS15/RPS3/RPS23/RPS5/RPL8/VAMP7/RPL35A"	28
"GO:0070972"	"GO:0070972"	"protein localization to endoplasmic reticulum"	"24/481"	"147/18670"	5.06554331173844e-13	2.7075329001242e-10	2.42479560106638e-10	"RPL13/RPL13A/RPS11/RPL27/RPL35/RPS17/RPL36/RPLP1/RPL36A/GET3/SEC61B/RPS16/RPS28/RPS3A/RPL38/RER1/RPL5/RPL31/RPS15/RPS3/RPS23/RPS5/RPL8/RPL35A"	24
"GO:0006605"	"GO:0006605"	"protein targeting"	"41/481"	"432/18670"	6.26768730573563e-13	2.97784787992506e-10	2.66688262201944e-10	"RPL13/RPL13A/RPS11/RPL27/RPL35/RPS17/RPL36/RPLP1/RPL36A/GET3/ROMO1/SEC61B/TOMM7/RPS16/ZDHHC7/RPS28/UBE2L3/ZDHHC4/RPS3A/TOMM5/ECI2/SSR1/RPL38/PRNP/TIMM8B/RPL5/RPL31/LMAN1/AIP/ECH1/RPS15/PEX10/RPS3/RPS23/RPS5/CLU/TIMM9/BNIP3L/RPL8/VAMP7/RPL35A"	41
"GO:0000956"	"GO:0000956"	"nuclear-transcribed mRNA catabolic process"	"28/481"	"207/18670"	7.11448373939308e-13	3.04215324696448e-10	2.72447282567495e-10	"RPL13/RPL13A/RPS11/RPL27/RPL35/RPS17/RPL36/RPLP1/RPL36A/ZFP36L1/MRTO4/RPS16/EXOSC4/RPS28/RPS3A/RPL38/LSM5/RPL5/RPL31/LSM3/NBDY/RPS15/RPS3/RPS23/RPS5/LSM7/RPL8/RPL35A"	28
