"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0019080"	"GO:0019080"	"viral gene expression"	"32/452"	"191/18670"	4.56473798450205e-18	1.91992879628156e-14	1.69664103402913e-14	"SUPT4H1/RPL13A/RPL13/CCL4/RPS11/RPL27/RPL35/ZFP36/RPS17/POLR2K/RPL36/RPL36A/USF2/RPLP1/IFITM3/RPS16/RPS3A/RPS28/RPL38/EIF3D/POLR2H/RPL31/RPL5/RPS15/POLR2I/NUP37/RPS3/RPS23/RPL8/EIF3L/RPS5/RPL7"	32
"GO:0019083"	"GO:0019083"	"viral transcription"	"30/452"	"177/18670"	3.70620471163919e-17	7.79414850857721e-14	6.88768886147261e-14	"SUPT4H1/RPL13A/RPL13/CCL4/RPS11/RPL27/RPL35/ZFP36/RPS17/POLR2K/RPL36/RPL36A/USF2/RPLP1/IFITM3/RPS16/RPS3A/RPS28/RPL38/POLR2H/RPL31/RPL5/RPS15/POLR2I/NUP37/RPS3/RPS23/RPL8/RPS5/RPL7"	30
"GO:0006613"	"GO:0006613"	"cotranslational protein targeting to membrane"	"23/452"	"109/18670"	1.3188933569515e-15	1.849088486446e-12	1.63403945382307e-12	"RPL13A/RPL13/RPS11/RPL27/RPL35/RPS17/RPL36/RPL36A/SEC61B/RPLP1/RPS16/RPS3A/RPS28/SSR1/RPL38/RPL31/RPL5/RPS15/RPS3/RPS23/RPL8/RPS5/RPL7"	23
"GO:0006614"	"GO:0006614"	"SRP-dependent cotranslational protein targeting to membrane"	"22/452"	"105/18670"	6.46614768994036e-15	6.79915429597229e-12	6.00841249820511e-12	"RPL13A/RPL13/RPS11/RPL27/RPL35/RPS17/RPL36/RPL36A/SEC61B/RPLP1/RPS16/RPS3A/RPS28/RPL38/RPL31/RPL5/RPS15/RPS3/RPS23/RPL8/RPS5/RPL7"	22
"GO:0045047"	"GO:0045047"	"protein targeting to ER"	"22/452"	"118/18670"	8.33848062358604e-14	7.01432990056058e-11	6.19856317513312e-11	"RPL13A/RPL13/RPS11/RPL27/RPL35/RPS17/RPL36/RPL36A/SEC61B/RPLP1/RPS16/RPS3A/RPS28/RPL38/RPL31/RPL5/RPS15/RPS3/RPS23/RPL8/RPS5/RPL7"	22
"GO:0000956"	"GO:0000956"	"nuclear-transcribed mRNA catabolic process"	"28/452"	"207/18670"	1.55775294690075e-13	9.8161480791736e-11	8.6745298364647e-11	"RPL13A/RPL13/RPS11/RPL27/RPL35/ZFP36/RPS17/RPL36/RPL36A/ZFP36L1/RPLP1/MRTO4/RPS16/RPS3A/RPS28/LSM5/RPL38/RPL31/RPL5/NBDY/LSM3/RPS15/RPS3/RPS23/RPL8/RPS5/LSM7/RPL7"	28
"GO:0072599"	"GO:0072599"	"establishment of protein localization to endoplasmic reticulum"	"22/452"	"122/18670"	1.70830831561139e-13	9.8161480791736e-11	8.6745298364647e-11	"RPL13A/RPL13/RPS11/RPL27/RPL35/RPS17/RPL36/RPL36A/SEC61B/RPLP1/RPS16/RPS3A/RPS28/RPL38/RPL31/RPL5/RPS15/RPS3/RPS23/RPL8/RPS5/RPL7"	22
"GO:0006413"	"GO:0006413"	"translational initiation"	"27/452"	"193/18670"	1.86707524092698e-13	9.8161480791736e-11	8.6745298364647e-11	"EIF4EBP1/RPL13A/RPL13/RPS11/RPL27/RPL35/RPS17/RPL36/RPL36A/RPLP1/RPS16/RPS3A/RPS28/RPL38/EIF3D/RPL31/RPL5/RPS15/EIF1AX/RPS3/RPS23/EIF6/RPL8/EIF3L/RPS5/RPL7/NPM1"	27
"GO:0070972"	"GO:0070972"	"protein localization to endoplasmic reticulum"	"23/452"	"147/18670"	1.08699889559808e-12	4.73805012547677e-10	4.18701478916297e-10	"RPL13A/RPL13/RPS11/RPL27/RPL35/RPS17/RPL36/RPL36A/SEC61B/RPLP1/RPS16/RPS3A/RPS28/RER1/RPL38/RPL31/RPL5/RPS15/RPS3/RPS23/RPL8/RPS5/RPL7"	23
"GO:0000184"	"GO:0000184"	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	"21/452"	"120/18670"	1.12649789003252e-12	4.73805012547677e-10	4.18701478916297e-10	"RPL13A/RPL13/RPS11/RPL27/RPL35/RPS17/RPL36/RPL36A/RPLP1/RPS16/RPS3A/RPS28/RPL38/RPL31/RPL5/RPS15/RPS3/RPS23/RPL8/RPS5/RPL7"	21
"GO:0006605"	"GO:0006605"	"protein targeting"	"39/452"	"432/18670"	1.62134029266025e-12	6.19941570084456e-10	5.47842351519937e-10	"RPL13A/RPL13/RPS11/RPL27/RPL35/RPS17/RPL36/RPL36A/SEC61B/ROMO1/RPLP1/RPS16/TOMM7/RPS3A/RPS28/UBE2L3/ECH1/ZDHHC4/SSR1/ECI2/RPL38/PEX10/TOMM5/RPL31/RPL5/TIMM8B/LMAN1/RPS15/PRNP/AIP/TOMM20/RPS3/RPS23/RPL8/CLU/RPS5/TIMM9/RPL7/VAMP7"	39
"GO:0006612"	"GO:0006612"	"protein targeting to membrane"	"26/452"	"202/18670"	3.74314072928389e-12	1.311970825614e-09	1.15938858904398e-09	"RPL13A/RPL13/RPS11/RPL27/RPL35/RPS17/RPL36/RPL36A/SEC61B/RPLP1/RPS16/RPS3A/RPS28/ZDHHC4/SSR1/RPL38/RPL31/RPL5/RPS15/PRNP/RPS3/RPS23/RPL8/RPS5/RPL7/VAMP7"	26
"GO:0006401"	"GO:0006401"	"RNA catabolic process"	"36/452"	"397/18670"	1.06638461885057e-11	3.45016438991194e-09	3.04891019365294e-09	"RPL13A/RPL13/RPS11/RPL27/RPL35/PSMA4/ZFP36/RPS17/RPL36/RPL36A/ZFP36L1/RPLP1/MRTO4/RPS16/RPS3A/RPS28/PSMB3/LSM5/YBX1/RPL38/RPL31/RPL5/NBDY/LSM3/RNASE6/RPS15/PSMD8/RPS3/RPS23/SET/ISG20/RPL8/RPS5/LSM7/RPL7/NPM1"	36
"GO:0006402"	"GO:0006402"	"mRNA catabolic process"	"34/452"	"364/18670"	1.81487032979318e-11	5.45238900507866e-09	4.81827604097724e-09	"RPL13A/RPL13/RPS11/RPL27/RPL35/PSMA4/ZFP36/RPS17/RPL36/RPL36A/ZFP36L1/RPLP1/MRTO4/RPS16/RPS3A/RPS28/PSMB3/LSM5/YBX1/RPL38/RPL31/RPL5/NBDY/LSM3/RPS15/PSMD8/RPS3/RPS23/SET/RPL8/RPS5/LSM7/RPL7/NPM1"	34
"GO:0090150"	"GO:0090150"	"establishment of protein localization to membrane"	"32/452"	"332/18670"	3.20802009429317e-11	8.99528834439805e-09	7.94913610733276e-09	"NMT1/RPL13A/RPL13/RPS11/RPL27/RPL35/RPS17/RPL36/RPL36A/SEC61B/ROMO1/RPLP1/RPS16/RPS3A/RPS28/ZDHHC4/SSR1/RPL38/RPL31/RPL5/RPS15/PRNP/RPS3/RPS23/PMAIP1/RPL8/RPS5/RAB11A/TIMM9/BAX/RPL7/VAMP7"	32
"GO:0006119"	"GO:0006119"	"oxidative phosphorylation"	"19/452"	"145/18670"	2.2865521369792e-09	6.01077393008408e-07	5.31172078662735e-07	"COX6A1/CHCHD10/COQ9/NDUFA4/ATP5F1E/NDUFA6/COX6B1/COX7B/ATP5MG/ATP5F1B/UQCR11/COX6C/NDUFA3/NDUFB2/COX4I1/COX7A1/ATP5MC2/ATP5F1A/UQCC2"	19
"GO:0046034"	"GO:0046034"	"ATP metabolic process"	"27/452"	"305/18670"	7.33989910237399e-09	1.81597738968147e-06	1.60477917835805e-06	"COX6A1/HK1/CHCHD10/COQ9/NDUFA4/TGFB1/ATP5F1E/NDUFA6/COX6B1/COX7B/DDIT4/ATP5MG/ATP5F1B/NUDT5/UQCR11/NUP37/COX6C/NDUFA3/NDUFB2/COX4I1/EIF6/COX7A1/TMSB4X/ATP5MC2/ATP5F1A/PKM/UQCC2"	27
"GO:0009205"	"GO:0009205"	"purine ribonucleoside triphosphate metabolic process"	"28/452"	"335/18670"	1.35888778061684e-08	3.17526778070801e-06	2.80598406629126e-06	"COX6A1/HK1/CHCHD10/COQ9/NDUFA4/TGFB1/ATP5F1E/NDUFA6/COX6B1/COX7B/DDIT4/ATP5MG/ATP5F1B/NUDT5/UQCR11/NUP37/COX6C/NDUFA3/NDUFB2/COX4I1/EIF6/COX7A1/TMSB4X/NME3/ATP5MC2/ATP5F1A/PKM/UQCC2"	28
"GO:0009199"	"GO:0009199"	"ribonucleoside triphosphate metabolic process"	"28/452"	"341/18670"	1.99528043247957e-08	4.41692078895215e-06	3.90323280170935e-06	"COX6A1/HK1/CHCHD10/COQ9/NDUFA4/TGFB1/ATP5F1E/NDUFA6/COX6B1/COX7B/DDIT4/ATP5MG/ATP5F1B/NUDT5/UQCR11/NUP37/COX6C/NDUFA3/NDUFB2/COX4I1/EIF6/COX7A1/TMSB4X/NME3/ATP5MC2/ATP5F1A/PKM/UQCC2"	28
"GO:0009144"	"GO:0009144"	"purine nucleoside triphosphate metabolic process"	"28/452"	"342/18670"	2.12522768211429e-08	4.46935381548636e-06	3.94956786607662e-06	"COX6A1/HK1/CHCHD10/COQ9/NDUFA4/TGFB1/ATP5F1E/NDUFA6/COX6B1/COX7B/DDIT4/ATP5MG/ATP5F1B/NUDT5/UQCR11/NUP37/COX6C/NDUFA3/NDUFB2/COX4I1/EIF6/COX7A1/TMSB4X/NME3/ATP5MC2/ATP5F1A/PKM/UQCC2"	28
"GO:0009161"	"GO:0009161"	"ribonucleoside monophosphate metabolic process"	"28/452"	"354/18670"	4.44227443321155e-08	8.89724107908943e-06	7.86249174118797e-06	"PRPS2/COX6A1/HK1/CHCHD10/COQ9/NDUFA4/TGFB1/ATP5F1E/NDUFA6/COX6B1/COX7B/DDIT4/ATP5MG/ATP5F1B/NUDT5/UQCR11/NUP37/COX6C/NDUFA3/NDUFB2/COX4I1/EIF6/COX7A1/TMSB4X/ATP5MC2/ATP5F1A/PKM/UQCC2"	28
