"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001913","GO:0001913","T cell mediated cytotoxicity","12/408","59/18614",4.62472954890017e-09,2.01794544302658e-07,1.47742248101347e-07,"3824/5551/3004/3107/3106/3105/567/5788/3133/1075/3123/3134",12
"GO:0030101","GO:0030101","natural killer cell activation","15/408","100/18614",4.65375053102304e-09,2.01794544302658e-07,1.47742248101347e-07,"4818/3824/2214/7305/5788/22914/3133/3560/259197/3134/639/22890/3823/57823/3916",15
"GO:0046635","GO:0046635","positive regulation of alpha-beta T cell activation","13/408","72/18614",4.89616819163046e-09,2.10071384727219e-07,1.5380207006396e-07,"3458/3105/864/975/5788/3561/3133/3123/301/387/11126/7704/7535",13
"GO:0016032","GO:0016032","viral process","31/408","426/18614",5.68672073652584e-09,2.41448684604993e-07,1.7677470710582e-07,"6352/6351/10581/3956/975/7538/1072/60489/3123/5479/3146/3688/3725/8519/6348/7852/1488/3482/2040/682/684/10410/6404/3695/440400/5034/5478/3916/8673/4061/8724",31
"GO:0046637","GO:0046637","regulation of alpha-beta T cell differentiation","13/408","73/18614",5.83996482467276e-09,2.45398934282126e-07,1.79666850547447e-07,"3458/864/3561/4092/30009/3123/301/3146/639/387/7704/7535/3726",13
"GO:0002285","GO:0002285","lymphocyte activation involved in immune response","21/408","208/18614",6.63232193324963e-09,2.75850451019648e-07,2.01961682929782e-07,"4818/3458/2214/3936/3956/975/5788/4092/7040/3683/30009/3123/3134/301/3146/6095/2207/121260/6693/3916/3726",21
"GO:0045055","GO:0045055","regulated exocytosis","22/408","228/18614",6.7041143319627e-09,2.76019899162424e-07,2.02085743020885e-07,"4818/2214/3689/5341/3134/5908/5880/6348/4627/5730/5729/1488/11314/9145/3684/4067/51150/3916/8673/2771/8773/808",22
"GO:0032943","GO:0032943","mononuclear cell proliferation","26/408","313/18614",6.7909537831997e-09,2.7679927620322e-07,2.02656357635486e-07,"6352/3105/2214/7305/975/5788/4478/3115/3133/3113/3123/301/3659/2534/3146/7133/22806/5880/58515/11314/4067/5699/6693/1051/7535/896",26
"GO:0046632","GO:0046632","alpha-beta T cell differentiation","16/408","119/18614",7.26496360437725e-09,2.91890892025765e-07,2.13705562443325e-07,"3458/864/3561/4092/30009/3123/301/3659/3146/6095/639/387/7704/6693/7535/3726",16
"GO:0046718","GO:0046718","viral entry into host cell","18/408","153/18614",7.30443350996762e-09,2.91890892025765e-07,2.13705562443325e-07,"10581/3956/975/3123/3146/3688/8519/7852/682/10410/6404/3695/440400/5034/3916/8673/4061/8724",18
"GO:0002822","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","20/408","190/18614",7.4521202479795e-09,2.94901379910334e-07,2.15909666867878e-07,"3824/3107/3106/3105/567/975/5788/4092/7040/3133/30009/3123/3134/301/3146/7133/22890/121260/10666/3726",20
"GO:0002269","GO:0002269","leukocyte activation involved in inflammatory response","11/408","50/18614",8.50315547712808e-09,3.33258285815135e-07,2.43992366170629e-07,"8530/3458/7305/3689/5788/1075/3725/6348/1524/3684/1191",11
"GO:0045619","GO:0045619","regulation of lymphocyte differentiation","21/408","212/18614",9.31908230822599e-09,3.61757899888849e-07,2.64858128760107e-07,"3458/3398/864/5788/60/3561/4092/30009/3123/301/3659/3146/22806/639/22890/387/7704/101/7535/27166/3726",21
"GO:0150076","GO:0150076","neuroinflammatory response","13/408","76/18614",9.74103939519917e-09,3.74570533724828e-07,2.74238795286888e-07,"8530/3458/7305/3689/5788/1075/7133/3688/3725/6348/1524/3684/1191",13
"GO:0042098","GO:0042098","T cell proliferation","21/408","213/18614",1.01329122826736e-08,3.85997667889509e-07,2.82605079403635e-07,"6352/3105/975/5788/4478/3115/3133/3113/3123/301/3659/2534/3146/7133/5880/58515/5699/6693/1051/7535/896",21
"GO:0044409","GO:0044409","entry into host","18/408","160/18614",1.48922248802534e-08,5.62043598258453e-07,4.11495687480687e-07,"10581/3956/975/3123/3146/3688/8519/7852/682/10410/6404/3695/440400/5034/3916/8673/4061/8724",18
"GO:1903557","GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","15/408","109/18614",1.55886977953358e-08,5.82931488199896e-07,4.26788587636668e-07,"3458/1535/2214/7305/10417/5788/5295/3133/3146/58515/6348/101/6693/5196/1191",15
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","22/408","239/18614",1.59291200916703e-08,5.9024630448771e-07,4.32144071386462e-07,"6352/3105/2214/7305/975/5788/3115/3133/3113/3123/301/3659/3146/7133/22806/5880/58515/11314/4067/6693/1051/7535",22
"GO:0045580","GO:0045580","regulation of T cell differentiation","19/408","180/18614",1.69579936064104e-08,6.22709747204764e-07,4.5591191914816e-07,"3458/864/5788/60/3561/4092/30009/3123/301/3659/3146/639/22890/387/7704/101/7535/27166/3726",19
"GO:0002444","GO:0002444","myeloid leukocyte mediated immunity","15/408","110/18614",1.76937884349224e-08,6.43927514828068e-07,4.71446336588392e-07,"2214/7305/3689/10417/3133/5880/6348/5730/1524/5729/11314/3684/4067/8673/8773",15
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","22/408","243/18614",2.15400055515549e-08,7.76965156001219e-07,5.68848772600448e-07,"6352/3105/2214/7305/975/5788/3115/3133/3113/3123/301/3659/3146/7133/22806/5880/58515/11314/4067/6693/1051/7535",22
"GO:0061900","GO:0061900","glial cell activation","11/408","55/18614",2.46857512165073e-08,8.77218304708524e-07,6.42248306866553e-07,"8530/3458/7305/3689/5788/1075/3725/6348/1524/3684/1191",11
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","17/408","147/18614",2.4827062690887e-08,8.77218304708524e-07,6.42248306866553e-07,"6352/6351/6846/4267/5295/3146/811/5880/3676/58515/387/6348/1524/101/5594/6693/9750",17
"GO:0002704","GO:0002704","negative regulation of leukocyte mediated immunity","12/408","68/18614",2.51802113961966e-08,8.77218304708524e-07,6.42248306866553e-07,"3824/3106/3105/5788/4092/7040/3133/30009/3134/1524/11314/684",12
"GO:2000401","GO:2000401","regulation of lymphocyte migration","12/408","68/18614",2.51802113961966e-08,8.77218304708524e-07,6.42248306866553e-07,"6352/6351/6846/22914/4478/3676/58515/387/6348/101/6693/9750",12
"GO:0044000","GO:0044000","movement in host","19/408","185/18614",2.65400046055401e-08,9.16754735357471e-07,6.71194585697647e-07,"10581/3956/975/3123/3146/3688/8519/7852/682/10410/6404/3695/440400/5034/5478/3916/8673/4061/8724",19
"GO:0002275","GO:0002275","myeloid cell activation involved in immune response","14/408","98/18614",2.8984837320314e-08,9.92791570736133e-07,7.26864341469174e-07,"3458/7305/3689/5880/6348/5730/2207/1524/5729/11314/3684/4067/8673/8773",14
"GO:0021762","GO:0021762","substantia nigra development","10/408","44/18614",2.92571856758222e-08,9.93769073455429e-07,7.27580012201369e-07,"801/60/3309/4155/10971/387/998/7533/808/8655",10
"GO:0050878","GO:0050878","regulation of body fluid levels","27/408","361/18614",3.19759875631962e-08,1.07714153146767e-06,7.88620484920933e-07,"1535/5341/2316/60/1192/10627/7094/4627/2207/4067/2149/71/7294/5478/8673/2771/5196/2812/81027/2815/10398/340205/80739/2162/7414/83706/2778",27
"GO:1990868","GO:1990868","response to chemokine","14/408","99/18614",3.30941599653844e-08,1.0966812684464e-06,8.02926345758363e-07,"6352/6351/6846/1843/387/6348/7852/1524/4067/6349/5473/5196/5197/9750",14
"GO:1990869","GO:1990869","cellular response to chemokine","14/408","99/18614",3.30941599653844e-08,1.0966812684464e-06,8.02926345758363e-07,"6352/6351/6846/1843/387/6348/7852/1524/4067/6349/5473/5196/5197/9750",14
"GO:0002683","GO:0002683","negative regulation of immune system process","32/408","487/18614",3.64566322580072e-08,1.19836478293256e-06,8.77373110793297e-07,"8530/3824/3106/55646/3105/7305/3398/864/5788/22914/5295/4092/7040/3133/30009/3123/3134/301/1843/3659/2534/3146/6348/1524/11126/11314/4067/6693/684/1051/7009/9750",32
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","14/408","100/18614",3.77239940593501e-08,1.23010399828729e-06,9.00610721332695e-07,"2316/10109/5295/81/6281/811/3676/387/57580/998/3695/5034/3987/83706",14
"GO:0002483","GO:0002483","antigen processing and presentation of endogenous peptide antigen","8/408","25/18614",3.88205346063356e-08,1.25581348456686e-06,9.19433714360581e-07,"3107/3106/3105/567/3133/3123/3134/6892",8
"GO:0050727","GO:0050727","regulation of inflammatory response","29/408","414/18614",4.12970926413734e-08,1.32540905201762e-06,9.70387547768699e-07,"6352/4818/8530/3458/3956/975/5788/7538/284207/7114/3133/1075/3123/301/2534/80709/7133/2950/6095/4792/6348/241/313/4067/114769/101/1051/4718/8673",29
"GO:0019058","GO:0019058","viral life cycle","25/408","320/18614",4.48563841120543e-08,1.42839548156823e-06,1.04578823155982e-06,"6352/10581/3956/975/60489/3123/5479/3146/3688/8519/7852/1488/2040/682/684/10410/6404/3695/440400/5034/5478/3916/8673/4061/8724",25
"GO:0071677","GO:0071677","positive regulation of mononuclear cell migration","12/408","72/18614",4.90877772064554e-08,1.55102154956211e-06,1.13556791823991e-06,"6352/6351/6846/3146/811/3676/58515/387/6348/1524/101/6693",12
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","26/408","346/18614",5.26299527334011e-08,1.65015144108725e-06,1.20814506881937e-06,"5216/5341/2316/10109/5295/7114/81873/8477/389/6281/11034/10788/11214/8826/387/51225/71/10094/684/10092/998/397/51466/382/832/136319",26
"GO:0045089","GO:0045089","positive regulation of innate immune response","24/408","300/18614",5.35721555296979e-08,1.66687103770266e-06,1.22038618663474e-06,"6352/3824/1535/7305/22914/149628/3133/259197/3320/3134/3659/2534/3146/4792/117157/3823/11126/11314/121260/4067/10666/101/7294/3916",24
"GO:0001911","GO:0001911","negative regulation of leukocyte mediated cytotoxicity","8/408","26/18614",5.50062225419973e-08,1.69852547788773e-06,1.2435617297174e-06,"3824/3106/3105/5788/7040/3133/3134/1524",8
"GO:0002833","GO:0002833","positive regulation of response to biotic stimulus","25/408","327/18614",6.83718858073985e-08,2.09536696654855e-06,1.53410602504135e-06,"6352/3824/1535/7305/22914/149628/3133/259197/3123/3320/3134/3659/2534/3146/4792/117157/3823/11126/11314/121260/4067/10666/101/7294/3916",25
"GO:0032760","GO:0032760","positive regulation of tumor necrosis factor production","14/408","105/18614",7.0917773098973e-08,2.15717047127921e-06,1.57935496257336e-06,"3458/1535/2214/7305/10417/5788/5295/3133/3146/58515/6348/6693/5196/1191",14
"GO:0019884","GO:0019884","antigen processing and presentation of exogenous antigen","10/408","49/18614",8.78746933507761e-08,2.65316481553899e-06,1.94249322143821e-06,"3105/567/3115/3133/3113/3123/3134/5720/2207/1509",10
"GO:0032930","GO:0032930","positive regulation of superoxide anion generation","7/408","19/18614",9.26868223323816e-08,2.77787858696167e-06,2.03380140334599e-06,"1535/7305/3689/7040/2950/3684/2771",7
"GO:0071216","GO:0071216","cellular response to biotic stimulus","22/408","264/18614",9.48233971855398e-08,2.82116910166613e-06,2.06549620454095e-06,"6352/10417/7538/22914/9516/7040/3146/7133/3309/2950/387/4792/6348/1524/4067/114769/5594/1051/54499/5473/5196/5197",22
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","20/408","222/18614",1.0289626280424e-07,3.039167878189e-06,2.22510225057224e-06,"2316/10109/5295/81/7094/6281/7402/811/5880/23499/387/57580/71/5786/998/5034/8631/3987/7414/6251",20
"GO:0002418","GO:0002418","immune response to tumor cell","8/408","28/18614",1.0530628177277e-07,3.08797413313532e-06,2.26083535649983e-06,"4818/5551/3105/7040/3123/3146/11126/10666",8
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","20/408","224/18614",1.19236476583479e-07,3.47148484681613e-06,2.54161963243731e-06,"6352/10417/7538/22914/9516/7040/3146/7133/2950/387/4792/6348/1524/4067/114769/5594/1051/5473/5196/5197",20
"GO:0032970","GO:0032970","regulation of actin filament-based process","27/408","387/18614",1.32821666094243e-07,3.8395823475187e-06,2.81111924880314e-06,"5216/5341/2316/10109/5295/7114/81873/8477/389/6281/11034/10788/11214/8826/387/4627/51225/71/10094/684/10092/998/397/51466/382/832/136319",27
"GO:0002396","GO:0002396","MHC protein complex assembly","7/408","20/18614",1.39914673768758e-07,3.98805741455565e-06,2.91982407165571e-06,"567/3115/3113/3123/2923/811/6892",7
"GO:0002501","GO:0002501","peptide antigen assembly with MHC protein complex","7/408","20/18614",1.39914673768758e-07,3.98805741455565e-06,2.91982407165571e-06,"567/3115/3113/3123/2923/811/6892",7
"GO:0031342","GO:0031342","negative regulation of cell killing","8/408","29/18614",1.42655259427654e-07,4.03793637102165e-06,2.95634254734941e-06,"3824/3106/3105/5788/7040/3133/3134/1524",8
"GO:0051701","GO:0051701","biological process involved in interaction with host","19/408","206/18614",1.48617267447717e-07,4.17768263528893e-06,3.05865664765356e-06,"10581/3956/975/3123/3146/3688/8519/7852/682/10410/6404/3695/440400/5034/5478/3916/8673/4061/8724",19
"GO:0002478","GO:0002478","antigen processing and presentation of exogenous peptide antigen","9/408","40/18614",1.60221408523349e-07,4.47303055576144e-06,3.2748932455926e-06,"3105/567/3115/3133/3113/3123/3134/2207/1509",9
"GO:2000403","GO:2000403","positive regulation of lymphocyte migration","9/408","41/18614",2.0134107187425e-07,5.58276332625471e-06,4.08737514331184e-06,"6352/6351/6846/3676/58515/387/6348/101/6693",9
"GO:0071706","GO:0071706","tumor necrosis factor superfamily cytokine production","18/408","190/18614",2.11777368059904e-07,5.79331914236354e-06,4.24153188590482e-06,"3458/1535/2214/7305/10417/5788/7538/5295/3133/3146/2950/58515/6348/1524/101/6693/5196/1191",18
"GO:1903555","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","18/408","190/18614",2.11777368059904e-07,5.79331914236354e-06,4.24153188590482e-06,"3458/1535/2214/7305/10417/5788/7538/5295/3133/3146/2950/58515/6348/1524/101/6693/5196/1191",18
"GO:0035710","GO:0035710","CD4-positive, alpha-beta T cell activation","14/408","115/18614",2.25562536169791e-07,6.11715823043869e-06,4.47862806241766e-06,"4818/3458/864/975/3561/4092/30009/3123/301/3146/6095/11126/6693/3726",14
"GO:0051651","GO:0051651","maintenance of location in cell","20/408","233/18614",2.26617000195349e-07,6.11715823043869e-06,4.47862806241766e-06,"23345/1535/801/2316/5788/5552/7114/3309/7184/811/25777/6348/4067/2149/309/2812/2815/2495/808/2280",20
"GO:0071346","GO:0071346","cellular response to type II interferon","14/408","116/18614",2.51477070290751e-07,6.74355617437567e-06,4.93724026505734e-06,"6352/6351/3458/6846/3113/2597/3716/3659/6348/71/7294/998/10097/6349",14
"GO:0002711","GO:0002711","positive regulation of T cell mediated immunity","11/408","69/18614",2.85756280039143e-07,7.61269671529116e-06,5.57357450231146e-06,"3107/3106/3105/567/975/5788/3133/30009/3123/3134/22890",11
"GO:0032928","GO:0032928","regulation of superoxide anion generation","7/408","22/18614",2.96353448883955e-07,7.84374453020129e-06,5.7427342965551e-06,"1535/7305/3689/7040/2950/3684/2771",7
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","20/408","237/18614",2.98293901938814e-07,7.84416738259747e-06,5.74304388452658e-06,"6352/10417/7538/22914/9516/7040/3146/7133/2950/387/4792/6348/1524/4067/114769/5594/1051/5473/5196/5197",20
"GO:0032814","GO:0032814","regulation of natural killer cell activation","9/408","43/18614",3.11757959301221e-07,8.14567591097294e-06,5.96379092185535e-06,"3824/2214/7305/3133/3134/639/22890/3823/3916",9
"GO:0019883","GO:0019883","antigen processing and presentation of endogenous antigen","8/408","32/18614",3.30015372754128e-07,8.56778763914538e-06,6.27283661922864e-06,"3107/3106/3105/567/3133/3123/3134/6892",8
"GO:0007160","GO:0007160","cell-matrix adhesion","20/408","239/18614",3.41433735718502e-07,8.808125992333e-06,6.44879840614226e-06,"3689/967/5295/3683/7094/6281/7402/3688/23499/3676/387/3684/71/5786/3695/8631/3987/7414/83706/87",20
"GO:0002718","GO:0002718","regulation of cytokine production involved in immune response","14/408","119/18614",3.46080904094768e-07,8.87186015780047e-06,6.49546086136158e-06,"3105/567/10417/975/9516/4092/7040/3133/30009/3134/7133/11126/10666/684",14
"GO:0002347","GO:0002347","response to tumor cell","9/408","44/18614",3.84401015376323e-07,9.79261586671184e-06,7.16958472757814e-06,"4818/5551/3105/7040/3123/3146/11126/51225/10666",9
"GO:0019835","GO:0019835","cytolysis","7/408","23/18614",4.18006727069891e-07,1.05172556761536e-05,7.70012391970852e-06,"4818/3001/2999/3002/5551/3004/23531",7
"GO:0019885","GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","7/408","23/18614",4.18006727069891e-07,1.05172556761536e-05,7.70012391970852e-06,"3107/3106/3105/567/3133/3134/6892",7
"GO:0002367","GO:0002367","cytokine production involved in immune response","14/408","121/18614",4.25801353782345e-07,1.06476461228027e-05,7.79558823359992e-06,"3105/567/10417/975/9516/4092/7040/3133/30009/3134/7133/11126/10666/684",14
"GO:0002698","GO:0002698","negative regulation of immune effector process","14/408","122/18614",4.7154181183774e-07,1.1719539177138e-05,8.58036608831832e-06,"3824/3106/3105/5788/4092/7040/3133/30009/3134/301/1524/11314/684/7009",14
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","30/408","492/18614",4.90392978026029e-07,1.21141925965703e-05,8.86930840640378e-06,"6352/6351/10581/3458/6846/5788/3561/7114/3560/81/3716/3659/7133/2950/4792/8519/6348/7852/2207/1524/4067/114769/7294/10410/5034/6349/5473/5196/5197/3987",30
"GO:0042129","GO:0042129","regulation of T cell proliferation","17/408","183/18614",6.08861914856411e-07,1.49501274997273e-05,1.09456152734174e-05,"6352/3105/975/5788/3115/3133/3113/3123/301/3659/3146/7133/5880/58515/6693/1051/7535",17
"GO:0006470","GO:0006470","protein dephosphorylation","20/408","249/18614",6.56050417083406e-07,1.58596364332278e-05,1.16115049037242e-05,"1844/5527/801/5788/7040/1843/7184/8073/5782/11314/5775/26469/5499/5786/5478/5791/2771/23645/808/2280",20
"GO:1902107","GO:1902107","positive regulation of leukocyte differentiation","17/408","184/18614",6.57575700985156e-07,1.58596364332278e-05,1.16115049037242e-05,"3458/7305/3398/864/5788/60/3561/7040/3123/301/3146/22890/387/7704/101/7535/5196",17
"GO:1903708","GO:1903708","positive regulation of hemopoiesis","17/408","184/18614",6.57575700985156e-07,1.58596364332278e-05,1.16115049037242e-05,"3458/7305/3398/864/5788/60/3561/7040/3123/301/3146/22890/387/7704/101/7535/5196",17
"GO:0032640","GO:0032640","tumor necrosis factor production","17/408","185/18614",7.09796985442328e-07,1.69024929510416e-05,1.23750238924134e-05,"3458/1535/2214/7305/10417/5788/7538/5295/3133/3146/2950/58515/6348/1524/6693/5196/1191",17
"GO:0032680","GO:0032680","regulation of tumor necrosis factor production","17/408","185/18614",7.09796985442328e-07,1.69024929510416e-05,1.23750238924134e-05,"3458/1535/2214/7305/10417/5788/7538/5295/3133/3146/2950/58515/6348/1524/6693/5196/1191",17
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","15/408","145/18614",7.13255345333455e-07,1.69024929510416e-05,1.23750238924134e-05,"2214/567/975/5788/7040/3115/3133/3560/30009/3113/3123/2207/121260/10666/1191",15
"GO:0050792","GO:0050792","regulation of viral process","16/408","165/18614",7.33767004041727e-07,1.72880595865554e-05,1.26573133949394e-05,"6352/10581/3956/7538/60489/3123/3146/8519/7852/2040/684/10410/5034/5478/4061/8724",16
"GO:0042116","GO:0042116","macrophage activation","13/408","109/18614",7.75556442739171e-07,1.81676325322118e-05,1.33012856331854e-05,"8530/3458/2214/7305/3689/5788/1075/6095/3725/6348/1524/3684/1191",13
"GO:0070665","GO:0070665","positive regulation of leukocyte proliferation","16/408","166/18614",7.96005576528481e-07,1.85401070281719e-05,1.35739898313278e-05,"6352/3105/2214/975/5788/3115/3133/3113/301/3146/5880/58515/4067/5594/684/7535",16
"GO:0070997","GO:0070997","neuron death","25/408","373/18614",8.20588992814692e-07,1.90040950835948e-05,1.39136949439572e-05,"6352/3458/7305/3689/7314/3134/2597/2534/7133/3309/3725/387/7832/6348/4929/1524/3684/2149/28996/101/1051/7009/10550/1191/4149",25
"GO:0036230","GO:0036230","granulocyte activation","9/408","48/18614",8.41561257017228e-07,1.92708072112484e-05,1.41089660771369e-05,"6352/7305/3689/301/6348/2207/11314/3684/57580",9
"GO:0046596","GO:0046596","regulation of viral entry into host cell","9/408","48/18614",8.41561257017228e-07,1.92708072112484e-05,1.41089660771369e-05,"10581/3956/3123/3146/8519/10410/5034/4061/8724",9
"GO:2000514","GO:2000514","regulation of CD4-positive, alpha-beta T cell activation","11/408","77/18614",8.94747901961654e-07,2.03742594882441e-05,1.49168497621952e-05,"3458/864/975/3561/4092/30009/3123/301/3146/11126/3726",11
"GO:0019724","GO:0019724","B cell mediated immunity","15/408","148/18614",9.2802065520003e-07,2.1014512169974e-05,1.53856055993689e-05,"2214/567/975/5788/7040/3115/3133/3560/30009/3113/3123/2207/121260/10666/1191",15
"GO:0002821","GO:0002821","positive regulation of adaptive immune response","14/408","129/18614",9.36151204630267e-07,2.10815044755413e-05,1.54346534755848e-05,"3107/3106/3105/567/975/5788/7040/3133/30009/3123/3134/22890/10666/8631",14
"GO:0002700","GO:0002700","regulation of production of molecular mediator of immune response","17/408","189/18614",9.58419222209185e-07,2.14643777457398e-05,1.57149710524178e-05,"3105/567/10417/975/5788/9516/4092/7040/3133/30009/3134/7133/11126/121260/10666/684/7009",17
"GO:1903901","GO:1903901","negative regulation of viral life cycle","7/408","26/18614",1.05960231081068e-06,2.36007596659253e-05,1.72791058449714e-05,"10581/8519/684/10410/5478/4061/8724",7
"GO:0008154","GO:0008154","actin polymerization or depolymerization","17/408","192/18614",1.19397327505987e-06,2.64491036366524e-05,1.93644979107251e-05,"5216/5341/1072/10109/7114/81873/11034/7456/387/57580/10094/10092/51466/10093/382/832/136319",17
"GO:0001914","GO:0001914","regulation of T cell mediated cytotoxicity","9/408","50/18614",1.2094531339448e-06,2.66471944538324e-05,1.95095285048847e-05,"3824/3107/3106/3105/567/5788/3133/3123/3134",9
"GO:0048857","GO:0048857","neural nucleus development","10/408","65/18614",1.40068834386761e-06,3.06946542451849e-05,2.24728435476213e-05,"801/60/3309/4155/10971/387/998/7533/808/8655",10
"GO:0002428","GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib","6/408","18/18614",1.58740070907925e-06,3.46002421936205e-05,2.53322882647885e-05,"3107/3106/3105/567/3133/3134",6
"GO:0006968","GO:0006968","cellular defense response","9/408","52/18614",1.70856671725604e-06,3.70431805294447e-05,2.71208658646185e-05,"10578/5551/7305/10219/3688/4046/1524/3823/6693",9
"GO:0045862","GO:0045862","positive regulation of proteolysis","24/408","365/18614",1.90894761422303e-06,4.11686268548839e-05,3.01412781193109e-05,"3458/5366/149628/4092/1075/2534/6281/5720/3146/7133/4155/6923/387/4627/1509/4067/2149/101/5721/27166/10550/1191/27018/9978",24
"GO:0051208","GO:0051208","sequestering of calcium ion","14/408","137/18614",1.93843999143174e-06,4.15846389740831e-05,3.04458580371689e-05,"1535/801/2316/5788/7184/811/6348/4067/2149/309/2812/2815/808/2280",14
"GO:0034975","GO:0034975","protein folding in endoplasmic reticulum","5/408","11/18614",2.04595526149616e-06,4.36613279887872e-05,3.19662891504085e-05,"2923/3309/7184/811/5034",5
"GO:0110053","GO:0110053","regulation of actin filament organization","20/408","268/18614",2.0656311286626e-06,4.37085103164916e-05,3.20008333111032e-05,"5216/5341/2316/10109/5295/7114/81873/8477/389/6281/11034/387/71/10094/10092/998/51466/382/832/136319",20
"GO:0001916","GO:0001916","positive regulation of T cell mediated cytotoxicity","8/408","40/18614",2.06961297622249e-06,4.37085103164916e-05,3.20008333111032e-05,"3107/3106/3105/567/5788/3133/3123/3134",8
"GO:0002286","GO:0002286","T cell activation involved in immune response","13/408","119/18614",2.12560443165222e-06,4.46596065124456e-05,3.26971707202064e-05,"3458/3936/975/4092/3683/30009/3123/301/3146/6095/2207/6693/3726",13
"GO:0016311","GO:0016311","dephosphorylation","23/408","342/18614",2.1420885957351e-06,4.47751441857245e-05,3.27817606958651e-05,"1844/3458/5527/801/5341/5788/7040/1843/7184/8073/8826/5782/11314/5775/26469/5499/5786/5478/5791/2771/23645/808/2280",23
"GO:0051098","GO:0051098","regulation of binding","24/408","369/18614",2.30798111288552e-06,4.79965868169459e-05,3.51403139367909e-05,"3001/84525/3458/567/801/60/149628/7040/7114/7049/6281/3146/3676/3725/4792/1488/28996/114769/5499/998/7009/808/2280/9750",24
"GO:0002695","GO:0002695","negative regulation of leukocyte activation","17/408","202/18614",2.40596491484654e-06,4.97802689995659e-05,3.64462224610736e-05,"8530/7305/3398/864/5788/4092/30009/3123/3134/301/3659/3146/11314/4067/6693/1051/9750",17
"GO:0150116","GO:0150116","regulation of cell-substrate junction organization","10/408","69/18614",2.46100011997376e-06,5.06618004495608e-05,3.70916286024753e-05,"5295/7094/6281/23499/387/71/5786/382/3987/7414",10
"GO:0150115","GO:0150115","cell-substrate junction organization","12/408","103/18614",2.65104757534659e-06,5.4299848829712e-05,3.97551963824786e-05,"5295/7094/6281/51762/23499/387/71/5786/382/3987/7414/87",12
"GO:0051235","GO:0051235","maintenance of location","23/408","347/18614",2.73570465306766e-06,5.5753660829519e-05,4.0819593112878e-05,"23345/1535/801/2316/57674/5788/5552/7114/301/3309/7184/811/25777/4792/6348/4067/2149/309/2812/2815/2495/808/2280",23
"GO:0043370","GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation","9/408","55/18614",2.78633530098001e-06,5.62232806276957e-05,4.11634214605437e-05,"3458/864/3561/4092/30009/3123/301/3146/3726",9
"GO:0052372","GO:0052372","modulation by symbiont of entry into host","9/408","55/18614",2.78633530098001e-06,5.62232806276957e-05,4.11634214605437e-05,"10581/3956/3123/3146/8519/10410/5034/4061/8724",9
"GO:0010591","GO:0010591","regulation of lamellipodium assembly","8/408","42/18614",3.05692637807888e-06,6.10785878286741e-05,4.47181954688009e-05,"10109/5295/3320/5880/51225/998/10097/832",8
"GO:0042119","GO:0042119","neutrophil activation","8/408","42/18614",3.05692637807888e-06,6.10785878286741e-05,4.47181954688009e-05,"6352/7305/3689/301/2207/11314/3684/57580",8
"GO:0002824","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","13/408","123/18614",3.08850838250262e-06,6.14085861808814e-05,4.49598011008726e-05,"3107/3106/3105/567/975/5788/7040/3133/30009/3123/3134/22890/10666",13
"GO:0045953","GO:0045953","negative regulation of natural killer cell mediated cytotoxicity","6/408","20/18614",3.19327750668277e-06,6.31834908603834e-05,4.62592832470396e-05,"3824/3106/3105/7040/3133/3134",6
"GO:0002548","GO:0002548","monocyte chemotaxis","10/408","71/18614",3.21412444443407e-06,6.32887499300158e-05,4.63363478259374e-05,"6352/6351/6846/301/1843/3146/6348/1524/4067/6349",10
"GO:0002707","GO:0002707","negative regulation of lymphocyte mediated immunity","9/408","56/18614",3.25629696512434e-06,6.38108962973404e-05,4.67186330775683e-05,"3824/3106/3105/5788/4092/7040/3133/30009/3134",9
"GO:0043367","GO:0043367","CD4-positive, alpha-beta T cell differentiation","11/408","89/18614",3.86512233096458e-06,7.53791321579504e-05,5.51882236629795e-05,"3458/864/3561/4092/30009/3123/301/3146/6095/6693/3726",11
"GO:0002688","GO:0002688","regulation of leukocyte chemotaxis","13/408","126/18614",4.04655740206948e-06,7.85417522420723e-05,5.7503710450461e-05,"6352/6351/6846/22914/1843/3146/811/5880/6348/1524/4067/5594/9750",13
